id,source,text,author,rating,date,category
1,product,"This product is literally life-changing! I can't imagine my routine without it now.",user_enthusiast,5,2023-10-01,electronics
2,video,"The presenter's voice is so annoying I had to mute the video. Content was mediocre at best.",critical_viewer,2,2023-10-02,education
3,product,"It works... mostly. Sometimes glitches but gets the job done.",practical_user,3,2023-10-03,software
4,video,"At first I thought this would be boring, but by the end I was completely hooked!",surprised_watcher,4,2023-10-04,entertainment
5,product,"Overpriced for what you get. Does the bare minimum.",frugal_shopper,2,2023-10-05,home goods
6,video,"The production quality is Hollywood-level! But the script needs work.",film_expert,4,2023-10-06,education
7,product,"After 3 months of heavy use, still performs like new. Impressive durability.",long_term_user,5,2023-10-07,tools
8,video,"Not bad... not great... just sort of... exists.",meh_commenter,3,2023-10-08,vlog
9,product,"Instructions were unclear, assembly took hours, and then it broke the first time I used it.",frustrated_buyer,1,2023-10-09,furniture
10,video,"I've watched this seven times and notice new details each viewing!",super_fan,5,2023-10-10,analysis
11,product,"The hype is real. This absolutely delivers on all its promises.",believer,5,2023-10-11,electronics
12,video,"The host clearly doesn't understand the subject matter. So many factual errors.",expert_critic,1,2023-10-12,education
13,product,"Good concept, poor execution. Needs a complete redesign.",design_analyst,2,2023-10-13,appliances
14,video,"Started strong but the ending ruined the whole thing.",disappointed_fan,2,2023-10-14,entertainment
15,product,"Perfect if you need something basic. Don't expect premium features.",value_seeker,3,2023-10-15,electronics
16,video,"This video saved me hours of research. Clear, concise, and accurate.",grateful_viewer,5,2023-10-16,tutorial
17,product,"Arrived damaged. Replacement was also damaged. Third time was the charm though.",persistent_customer,3,2023-10-17,home goods
18,video,"The editing is so bad it's distracting. Good information though.",mixed_feelings,3,2023-10-18,education
19,product,"Does exactly what the expensive brand-name version does for half the price.",smart_shopper,5,2023-10-19,tools
20,video,"I'd rather watch paint dry than sit through this again.",bored_to_tears,1,2023-10-20,entertainment
21,product,"The app keeps crashing and customer service was useless.",angry_customer,1,2023-10-21,software
22,video,"Brilliant analysis! Changed my entire perspective on the topic.",inspired_learner,5,2023-10-22,analysis
23,product,"Good but not great. The competitor's version has more features.",comparison_shopper,3,2023-10-23,electronics
24,video,"The host tries too hard to be funny. Just give us the information!",all_business,2,2023-10-24,tutorial
25,product,"Flawless performance. Worth every penny.",satisfied_owner,5,2023-10-25,appliances
26,video,"This is the video I send to everyone who asks about this topic.",evangelist,5,2023-10-26,education
27,product,"The battery life is a joke. Dies before lunchtime every day.",power_user,2,2023-10-27,electronics
28,video,"The background music is louder than the narration. Can't hear anything!",audio_issues,2,2023-10-28,tutorial
29,product,"I was skeptical but this actually works better than advertised.",pleasantly_surprised,4,2023-10-29,home goods
30,video,"The information is good but presented in the most boring way possible.",sleepy_viewer,3,2023-10-30,education
31,product,"Great when it works, but that's only about 70% of the time.",unreliable,3,2023-10-31,software
32,video,"The first 5 minutes are gold. The rest is filler.",front_loaded,3,2023-11-01,entertainment
33,product,"Customer service went above and beyond to solve my issue.",service_lover,5,2023-11-02,electronics
34,video,"The charts and graphs make complex data so easy to understand!",visual_learner,5,2023-11-03,analysis
35,product,"The design looks cheap and it feels fragile.",aesthetics_matter,2,2023-11-04,home goods
36,video,"The host's smug attitude ruins what could be good content.",personality_clash,2,2023-11-05,opinion
37,product,"Simple to set up and works perfectly right out of the box.",tech_newbie,5,2023-11-06,electronics
38,video,"This video is like drinking from a firehose - too much info too fast!",overwhelmed,3,2023-11-07,tutorial
39,product,"The advertised features are misleading. Doesn't do half of what they claim.",deceived,1,2023-11-08,software
40,video,"Perfect pacing, perfect tone, perfect information density.",goldilocks,5,2023-11-09,education
41,product,"It's fine. Not amazing, not terrible. Just... fine.",indifferent,3,2023-11-10,appliances
42,video,"The constant cuts give me motion sickness. Can't watch it.",visually_uncomfortable,1,2023-11-11,vlog
43,product,"The premium version is worth the extra cost - night and day difference.",upgrade_advocate,4,2023-11-12,electronics
44,video,"I learned more in 10 minutes than I did in a semester at college.",mind_blown,5,2023-11-13,education
45,product,"Stopped working after 3 weeks. No response from customer service.",abandoned,1,2023-11-14,tools
46,video,"The examples used are outdated and irrelevant.",out_of_touch,2,2023-11-15,tutorial
47,product,"The color in person is completely different from the photos online.",false_advertising,2,2023-11-16,home goods
48,video,"The guest speaker completely derailed the conversation. Stick to the host!",bad_chemistry,2,2023-11-17,interview
49,product,"I've bought three of these as gifts because they're so good!",brand_evangelist,5,2023-11-18,electronics
50,video,"The research behind this is impeccable. Citations for everything!",detail_lover,5,2023-11-19,analysis
51,product,"The touchscreen is unresponsive half the time.",glitchy,2,2023-11-20,electronics
52,video,"This is the definition of 'style over substance'. Pretty but empty.",shallow,2,2023-11-21,entertainment
